"Manufacturer Part Number","Manufacturer","Digi-Key Part Number","Customer Reference","Reference Designator","Packaging","Part Status","Quantity","Unit Price","Extended Price","Quantity Available","Mfg Std Lead Time","Description","RoHS Status","Lead Free Status","REACH Status"
"TAJS106K006RNJ","AVX Corporation","478-3965-1-ND","DAL40619","","Cut Tape (CT)","Active","4","0.75000","$3.00","19495","24 Weeks","CAP TANT 10UF 10% 6.3V 1206","ROHS3 Compliant","Lead free","REACH Unaffected"
"293D127X96R3D2TE3","Vishay Sprague","718-1745-1-ND","DAL40619","","Cut Tape (CT)","Active","3","1.26000","$3.78","5781","25 Weeks","CAP TANT 120UF 10% 6.3V 2917","ROHS3 Compliant","Lead free","Not Available"
"APT2012LVBC/D","Kingbright","754-1938-1-ND","DAL40619","","Cut Tape (CT)","Active","3","0.79000","$2.37","64","12 Weeks","LED BLUE CLEAR 2SMD","ROHS3 Compliant","Lead free","REACH Unaffected"
"APT2012LSECK/J4-PRV","Kingbright","754-1936-1-ND","DAL40619","","Cut Tape (CT)","Active","3","0.93000","$2.79","1116","12 Weeks","LED ORANGE CLEAR 2SMD","ROHS3 Compliant","Lead free","REACH Unaffected"
"1546215-2","TE Connectivity AMP Connectors","A121350-ND","DAL40619","","Bulk","Active","14","1.45800","$20.41","1774","16 Weeks","TERM BLK 2P SIDE ENT 2.54MM PCB","RoHS Compliant","Lead free","Not Available"
"10103594-0001LF","Amphenol ICC (FCI)","609-4050-1-ND","DAL40619","","Cut Tape (CT)","Active","3","1.04000","$3.12","95018","14 Weeks","CONN RCPT USB2.0 MICRO B SMD R/A","RoHS Compliant","Lead free","REACH Unaffected"
"61307221121","Würth Elektronik","732-5312-ND","DAL40619","","Bulk","Active","3","3.48000","$10.44","181","19 Weeks","CONN HEADER VERT 72POS 2.54MM","ROHS3 Compliant","Lead free","REACH Unaffected"
"2N7002A-7","Diodes Incorporated","2N7002A-7DICT-ND","DAL40619","","Cut Tape (CT)","Active","6","0.44000","$2.64","69007","29 Weeks","MOSFET N-CH 60V 180MA SOT23","ROHS3 Compliant","Lead free","REACH Unaffected"
"PVG3A200C01R00","Bourns Inc.","490-2647-1-ND","DAL40619","","Cut Tape (CT)","Active","3","2.08000","$6.24","35494","10 Weeks","TRIMMER 20 OHM 0.25W J LEAD TOP","ROHS3 Compliant","Lead free","REACH Unaffected"
"ADA4084-2ARMZ","Analog Devices Inc.","ADA4084-2ARMZ-ND","DAL40619","","Tube","Active","4","11.15000","$44.60","5365","26 Weeks","IC OPAMP GP 2 CIRCUIT 8MSOP","ROHS3 Compliant","Lead free","REACH Unaffected"
"AD629ARZ","Analog Devices Inc.","AD629ARZ-ND","DAL40619","","Tube","Active","2","12.00000","$24.00","2214","8 Weeks","IC OPAMP DIFF 1 CIRCUIT 8SOIC","ROHS3 Compliant","Lead free","REACH Unaffected"
"AP2151WG-7","Diodes Incorporated","AP2151WGDICT-ND","DAL40619","","Cut Tape (CT)","Active","3","0.87000","$2.61","59","44 Weeks","IC PWR SWITCH P-CHAN 1:1 SOT25","ROHS3 Compliant","Lead free","REACH Unaffected"
"CR0603AJ/-000ELF","Bourns Inc.","118-CR0603AJ/-000ELFCT-ND","DAL40619","","Cut Tape (CT)","Active","20","0.05400","$1.08","24456","14 Weeks","RESISTOR AEC -Q200","ROHS3 Compliant","Not Available","Not Available"
"ERA-8AEB121V","Panasonic Electronic Components","P120BCCT-ND","DAL40619","","Cut Tape (CT)","Active","10","0.59600","$5.96","2953","22 Weeks","RES SMD 120 OHM 0.1% 1/4W 1206","ROHS3 Compliant","Lead free","REACH Unaffected"
"ERJ-PB3B1002V","Panasonic Electronic Components","P20086CT-ND","DAL40619","","Cut Tape (CT)","Active","15","0.27800","$4.17","4285","28 Weeks","RES SMD 10K OHM 0.1% 1/5W 0603","ROHS3 Compliant","Lead free","REACH Unaffected"
"RMCF0603FG1K00","Stackpole Electronics Inc","RMCF0603FG1K00CT-ND","DAL40619","","Cut Tape (CT)","Active","10","0.02500","$0.25","796452","21 Weeks","RES 1K OHM 1% 1/10W 0603","ROHS3 Compliant","Lead free","REACH Unaffected"
"ESR03EZPJ221","Rohm Semiconductor","RHM220DCT-ND","DAL40619","","Cut Tape (CT)","Active","10","0.11900","$1.19","47182","52 Weeks","RES SMD 220 OHM 5% 1/4W 0603","ROHS3 Compliant","Lead free","REACH Unaffected"
"ERJ-PB3B1601V","Panasonic Electronic Components","P19993CT-ND","DAL40619","","Cut Tape (CT)","Active","24","0.27800","$6.67","10374","28 Weeks","RES SMD 1.6K OHM 0.1% 1/5W 0603","ROHS3 Compliant","Lead free","REACH Unaffected"
"ERJ-PA3J204V","Panasonic Electronic Components","P200KBZCT-ND","DAL40619","","Cut Tape (CT)","Active","10","0.13100","$1.31","13658","28 Weeks","RES SMD 200K OHM 5% 1/4W 0603","ROHS3 Compliant","Lead free","REACH Unaffected"
"RMCF0603FT47K0","Stackpole Electronics Inc","RMCF0603FT47K0CT-ND","DAL40619","","Cut Tape (CT)","Active","10","0.02500","$0.25","177764","21 Weeks","RES 47K OHM 1% 1/10W 0603","ROHS3 Compliant","Lead free","REACH Unaffected"
"RT0603DRE076R8L","Yageo","13-RT0603DRE076R8LCT-ND","DAL40619","","Cut Tape (CT)","Active","5","0.17000","$0.85","9890","20 Weeks","RES SMD 6.8 OHM 0.5% 1/10W 0603","ROHS3 Compliant","Lead free","REACH Unaffected"
"RN73C1J5R9BTD","TE Connectivity Passive Product","A124668CT-ND","DAL40619","","Cut Tape (CT)","Active","5","1.00000","$5.00","6813","20 Weeks","RES SMD 5.9 OHM 0.1% 1/16W 0603","RoHS Compliant","Lead free","Not Available"
"ERJ-PB3B2942V","Panasonic Electronic Components","P20137CT-ND","DAL40619","","Cut Tape (CT)","Active","5","0.33000","$1.65","7795","28 Weeks","RES SMD 29.4K OHM 0.1% 1/5W 0603","ROHS3 Compliant","Lead free","REACH Unaffected"
"ERJ-PB3B1003V","Panasonic Electronic Components","P20200CT-ND","DAL40619","","Cut Tape (CT)","Active","5","0.33000","$1.65","6401","28 Weeks","RES SMD 100K OHM 0.1% 1/5W 0603","ROHS3 Compliant","Lead free","REACH Unaffected"
"ERJ-PB3B2002V","Panasonic Electronic Components","P20118CT-ND","DAL40619","","Cut Tape (CT)","Active","5","0.33000","$1.65","8","28 Weeks","RES SMD 20K OHM 0.1% 1/5W 0603","ROHS3 Compliant","Lead free","REACH Unaffected"
"C0603X472F5JAC7867","KEMET","399-13412-1-ND","DAL40619","","Cut Tape (CT)","Active","12","0.98200","$11.78","6467","19 Weeks","CAP CER 4700PF 50V U2J 0603","ROHS3 Compliant","Lead free","REACH Unaffected"
"VJ0603Y104JXQPW1BC","Vishay Vitramon","720-1688-1-ND","DAL40619","","Cut Tape (CT)","Active","20","0.18300","$3.66","24849","20 Weeks","CAP CER 0.1UF 10V X7R 0603","ROHS3 Compliant","Lead free","Not Available"
"PX0410/02S/5560","Bulgin","708-1037-ND","DAL40619","","Bulk","Active","1","14.15000","$14.15","305","14 Weeks","CONN PLG HSG FMALE 2POS INLINE","ROHS3 Compliant","Lead free","REACH Unaffected"
"PX0412/02P","Bulgin","708-1058-ND","DAL40619","","Bulk","Active","1","11.94000","$11.94","297","14 Weeks","CONN RCPT HSNG MALE 2POS PNL MT","ROHS3 Compliant","Lead free","REACH Unaffected"
"PVL08FLS41","E-Switch","EG5375-ND","DAL40619","","Bulk","Active","1","12.33000","$12.33","1193","11 Weeks","LED PANEL INDICATOR BLUE 2.8V","ROHS3 Compliant","Lead free","REACH Unaffected"
"PVL08FLS31","E-Switch","EG5374-ND","DAL40619","","Bulk","Active","1","11.72000","$11.72","497","9 Weeks","LED PANEL INDICATOR GREEN 2.8V","ROHS3 Compliant","Lead free","REACH Unaffected"
"APT2012CGCK","Kingbright","754-1127-1-ND","DAL40619","","Cut Tape (CT)","Active","3","0.44000","$1.32","20317","12 Weeks","LED GREEN CLEAR CHIP SMD","ROHS3 Compliant","Lead free","REACH Unaffected"
